Instruction,Location,isSizeVerified,isCC,Parameters,,
call,Instructions/call.bsh.java,3,0,1,r16/r32/m16/m32/l,
cls,Instructions/cls.bsh.java,1,0,0,,
f2xm1,Instructions/f2xm1.bsh.java,1,0,0,,
fabs,Instructions/fabs.bsh.java,1,0,0,,
fadd,Instructions/fadd.bsh.java,1,0,1,m32/m64,
fadd,Instructions/fadd.bsh.java,1,0,2,s,s
faddp,Instructions/faddp.bsh.java,1,0,2,s,s
faddp,Instructions/faddp.bsh.java,1,0,0,,
fbld,Instructions/fbld.bsh.java,1,0,1,m80,
fbstp,Instructions/fbstp.bsh.java,1,0,1,m80,
fchs,Instructions/fchs.bsh.java,1,0,0,,
fclex,Instructions/fclex.bsh.java,1,0,0,,
fcmov,Instructions/fcmov.bsh.java,1,2,2,s,s
fcom,Instructions/fcom.bsh.java,1,0,0,,
fcom,Instructions/fcom.bsh.java,1,0,1,s/m32/m64,
fcomi,Instructions/fcomi.bsh.java,1,0,2,s,s
fcomip,Instructions/fcomip.bsh.java,1,0,2,s,s
fcomp,Instructions/fcomp.bsh.java,1,0,0,,
fcomp,Instructions/fcomp.bsh.java,1,0,1,s/m32/m64,
fcompp,Instructions/fcompp.bsh.java,1,0,0,,
fcos,Instructions/fcos.bsh.java,1,0,0,,
fdecstp,Instructions/fdecstp.bsh.java,1,0,0,,
fdiv,Instructions/fdiv.bsh.java,1,0,1,m32/m64,
fdiv,Instructions/fdiv.bsh.java,1,0,2,s,s
fdivp,Instructions/fdivp.bsh.java,1,0,2,s,s
fdivp,Instructions/fdivp.bsh.java,1,0,0,,
fdivr,Instructions/fdivr.bsh.java,1,0,1,m32/m64,
fdivr,Instructions/fdivr.bsh.java,1,0,2,s,s
fdivrp,Instructions/fdivrp.bsh.java,1,0,2,s,s
fdivrp,Instructions/fdivrp.bsh.java,1,0,0,,
ffree,Instructions/ffree.bsh.java,1,0,1,s,
fiadd,Instructions/fiadd.bsh.java,1,0,1,m16/m32,
ficom,Instructions/ficom.bsh.java,1,0,1,m16/m32,
ficomp,Instructions/ficomp.bsh.java,1,0,1,m16/m32,
fidiv,Instructions/fidiv.bsh.java,1,0,1,m16/m32,
fidivr,Instructions/fidivr.bsh.java,1,0,1,m16/m32,
fild,Instructions/fild.bsh.java,1,0,1,m16/m32/m64,
fimul,Instructions/fimul.bsh.java,1,0,1,m16/m32,
fincstp,Instructions/fincstp.bsh.java,1,0,0,,
finit,Instructions/finit.bsh.java,1,0,0,,
fist,Instructions/fist.bsh.java,1,0,1,m16/m32,
fistp,Instructions/fistp.bsh.java,1,0,1,m16/m32/m64,
fisub,Instructions/fisub.bsh.java,1,0,1,m16/m32,
fisubr,Instructions/fisubr.bsh.java,1,0,1,m16/m32,
fld,Instructions/fld.bsh.java,1,0,1,s/m32/m64/m80,
fld1,Instructions/fld1.bsh.java,1,0,0,,
fldcw,Instructions/fldcw.bsh.java,1,0,1,m16,
fldenv,Instructions/fldenv.bsh.java,1,0,1,m16/m32,
fldl2e,Instructions/fldl2e.bsh.java,1,0,0,,
fldl2t,Instructions/fldl2t.bsh.java,1,0,0,,
fldlg2,Instructions/fldlg2.bsh.java,1,0,0,,
fldln2,Instructions/fldln2.bsh.java,1,0,0,,
fldpi,Instructions/fldpi.bsh.java,1,0,0,,
fldz,Instructions/fldz.bsh.java,1,0,0,,
fmul,Instructions/fmul.bsh.java,1,0,1,m32/m64,
fmul,Instructions/fmul.bsh.java,1,0,2,s,s
fmulp,Instructions/fmulp.bsh.java,1,0,2,s,s
fmulp,Instructions/fmulp.bsh.java,1,0,0,,
fnclex,Instructions/fnclex.bsh.java,1,0,0,,
fninit,Instructions/fninit.bsh.java,1,0,0,,
fnop,Instructions/fnop.bsh.java,1,0,0,,
fnsave,Instructions/fnsave.bsh.java,1,0,1,m16,,
fnstcw,Instructions/fnstcw.bsh.java,1,0,1,m16,
fnstenv,Instructions/fnstenv.bsh.java,1,0,1,m16/m32,
fnstsw,Instructions/fnstsw.bsh.java,1,0,0,,
fpatan,Instructions/fpatan.bsh.java,1,0,0,,
fprem,Instructions/fprem.bsh.java,1,0,0,,
fprem1,Instructions/fprem1.bsh.java,1,0,0,,
fptan,Instructions/fptan.bsh.java,1,0,0,,
frndint,Instructions/frndint.bsh.java,1,0,0,,
fsave,Instructions/fsave.bsh.java,1,0,1,m16,,
fscale,Instructions/fscale.bsh.java,1,0,0,,
fsin,Instructions/fsin.bsh.java,1,0,0,,
fsincos,Instructions/fsincos.bsh.java,1,0,0,,
fsqrt,Instructions/fsqrt.bsh.java,1,0,0,,
fst,Instructions/fst.bsh.java,1,0,1,s/m32/m64,
fstcw,Instructions/fstcw.bsh.java,1,0,1,m16,
fstenv,Instructions/fstenv.bsh.java,1,0,1,m16/m32,
fstp,Instructions/fstp.bsh.java,1,0,1,s/m32/m64/m80,
fstsw,Instructions/fstsw.bsh.java,1,0,0,,
fsub,Instructions/fsub.bsh.java,1,0,1,m32/m64,
fsub,Instructions/fsub.bsh.java,1,0,2,s,s
fsubp,Instructions/fsubp.bsh.java,1,0,2,s,s
fsubp,Instructions/fsubp.bsh.java,1,0,0,,
fsubr,Instructions/fsubr.bsh.java,1,0,1,m32/m64,
fsubr,Instructions/fsubr.bsh.java,1,0,2,s,s
fsubrp,Instructions/fsubrp.bsh.java,1,0,2,s,s
fsubrp,Instructions/fsubrp.bsh.java,1,0,0,,
ftst,Instructions/ftst.bsh.java,1,0,0,,
fucom,Instructions/fucom.bsh.java,1,0,0,,
fucom,Instructions/fucom.bsh.java,1,0,1,s,
fucomi,Instructions/fucomi.bsh.java,1,0,2,s,s
fucomip,Instructions/fucomip.bsh.java,1,0,2,s,s
fucomp,Instructions/fucomp.bsh.java,1,0,0,,
fucomp,Instructions/fucomp.bsh.java,1,0,1,s,
fucompp,Instructions/fucompp.bsh.java,1,0,0,,
fxam,Instructions/fxam.bsh.java,1,0,0,,
fxch,Instructions/fxch.bsh.java,1,0,0,,
fxch,Instructions/fxch.bsh.java,1,0,1,s,
fxrstor,Instructions/fxrstor.bsh.java,1,0,1,m16,
fxsave,Instructions/fxsave.bsh.java,1,0,1,m16,
fxtract,Instructions/fxtract.bsh.java,1,0,0,,
fyl2x,Instructions/fyl2x.bsh.java,1,0,0,,
fyl2xp1,Instructions/fyl2xp1.bsh.java,1,0,0,,
j,Instructions/j.bsh.java,3,1,1,l,
jcxz,Instructions/jcxz.bsh.java,3,0,1,l,
jecxz,Instructions/jecxz.bsh.java,3,0,1,l,
jmp,Instructions/jmp.bsh.java,3,0,1,r16/r32/m16/m32/l,
loop,Instructions/loop.bsh.java,3,0,1,l,
loope,Instructions/loope.bsh.java,3,0,1,l,
loopne,Instructions/loopne.bsh.java,3,0,1,l,
loopnz,Instructions/loopnz.bsh.java,3,0,1,l,
loopz,Instructions/loopz.bsh.java,3,0,1,l,
mov,Instructions/mov.bsh.java,1,0,2,r/m,r/m/i
printf,Instructions/printf.bsh.java,1,0,0,,
ret,Instructions/ret.bsh.java,3,0,1,i,
ret,Instructions/ret.bsh.java,3,0,0,,
scanf,Instructions/scanf.bsh.java,1,0,0,,
