Instruction,Location,isSizeVerified,isCC,Parameters,,,
aaa,Instructions/aaa.bsh.java,1,0,0,,,
aad,Instructions/aad.bsh.java,1,0,0,,,
aad,Instructions/aad.bsh.java,1,0,1,i,,
aam,Instructions/aam.bsh.java,1,0,0,,,
aam,Instructions/aam.bsh.java,1,0,1,i,,
aas,Instructions/aas.bsh.java,1,0,0,,,
adc,Instructions/adc.bsh.java,1,0,2,r/m,r/m/i,
adcx,Instructions/adcx.bsh.java,1,0,2,r32,r32/m32,
add,Instructions/add.bsh.java,1,0,2,r/m,r/m/i,
addpd,Instructions/addpd.bsh.java,1,0,2,x,x/m128,
addps,Instructions/addps.bsh.java,1,0,2,x,x/m128,
addsd,Instructions/addsd.bsh.java,0,0,2,x,x/m64,
addss,Instructions/addss.bsh.java,1,0,2,x,x/m32,
adox,Instructions/adox.bsh.java,1,0,2,r32,r32/m32,
and,Instructions/and.bsh.java,1,0,2,r/m,r/m/i,
andnpd,Instructions/andnpd.bsh.java,1,0,2,x,x/m128,
andnps,Instructions/andnps.bsh.java,1,0,2,x,x/m128,
andpd,Instructions/andpd.bsh.java,1,0,2,x,x/m128,
andps,Instructions/andps.bsh.java,1,0,2,x,x/m128,
bsf,Instructions/bsf.bsh.java,1,0,2,r16/r32,r16/r32/m16/m32,
bsr,Instructions/bsr.bsh.java,1,0,2,r16/r32,r16/r32/m16/m32,
bswap,Instructions/bswap.bsh.java,1,0,1,r32,,
bt,Instructions/bt.bsh.java,1,0,2,r16/r32/m16/m32,r16/r32/i,
btc,Instructions/btc.bsh.java,1,0,2,r16/r32/m16/m32,r16/r32/i,
btr,Instructions/btr.bsh.java,1,0,2,r16/r32/m16/m32,r16/r32/i,
bts,Instructions/bts.bsh.java,1,0,2,r16/r32/m16/m32,r16/r32/i,
call,Instructions/call.bsh.java,3,0,1,r16/r32/m16/m32/l,,
cbw,Instructions/cbw.bsh.java,1,0,0,,,
cdq,Instructions/cdq.bsh.java,1,0,0,,,
clc,Instructions/clc.bsh.java,1,0,0,,,
cld,Instructions/cld.bsh.java,1,0,0,,,
cli,Instructions/cli.bsh.java,1,0,0,,,
cls,Instructions/cls.bsh.java,1,0,0,,,
cmc,Instructions/cmc.bsh.java,1,0,0,,,
cmov,Instructions/cmov.bsh.java,1,1,2,r16/r32,r16/r32/m16/m32,
cmp,Instructions/cmp.bsh.java,1,0,2,r/m,r/m/i,
cmppd,Instructions/cmppd.bsh.java,0,0,3,x,x/m128,i
cmpps,Instructions/cmpps.bsh.java,0,0,3,x,x/m128,i
cmpsb,Instructions/cmpsb.bsh.java,1,0,0,,,
cmpsd,Instructions/cmpsd.bsh.java,1,0,0,,,
cmpsd,Instructions/cmpsd.bsh.java,0,0,3,x,x/m64,i
cmpss,Instructions/cmpss.bsh.java,0,0,3,x,x/m32,i
cmpsw,Instructions/cmpsw.bsh.java,1,0,0,,,
cmpxchg,Instructions/cmpxchg.bsh.java,1,0,2,r/m,r,
cmpxchgs8,Instructions/cmpxchgs8.bsh.java,1,0,1,m64,,
comisd,Instructions/comisd.bsh.java,0,0,2,x,x/m64,
comiss,Instructions/comiss.bsh.java,0,0,2,x,x/m32,
cvtdq2pd,Instructions/cvtdq2pd.bsh.java,0,0,2,x,x/m64,
cvtdq2ps,Instructions/cvtdq2ps.bsh.java,0,0,2,x,x/m128,
cvtpd2dq,Instructions/cvtpd2dq.bsh.java,0,0,2,x,x/m128,
cvtpd2pi,Instructions/cvtpd2pi.bsh.java,0,0,2,d,x/m128,
cvtpd2ps,Instructions/cvtpd2ps.bsh.java,0,0,2,x,x/m128,
cvtpi2pd,Instructions/cvtpi2pd.bsh.java,0,0,2,x,d/m64,
cvtpi2ps,Instructions/cvtpi2ps.bsh.java,0,0,2,x,d/m64,
cvtps2dq,Instructions/cvtps2dq.bsh.java,0,0,2,x,x/m128,
cvtps2pd,Instructions/cvtps2pd.bsh.java,0,0,2,x,x/m64,
cvtps2pi,Instructions/cvtps2pi.bsh.java,0,0,2,d,x/m64,
cvtsd2si,Instructions/cvtsd2si.bsh.java,0,0,2,r32,x/m64,
cvtsd2ss,Instructions/cvtsd2ss.bsh.java,0,0,2,x,x/m64,
cvtsi2sd,Instructions/cvtsi2sd.bsh.java,0,0,2,x,r32/m32,
cvtsi2ss,Instructions/cvtsi2ss.bsh.java,0,0,2,x,r32/m32/m64,
cvtss2sd,Instructions/cvtss2sd.bsh.java,0,0,2,x,x/m32,
cvtss2si,Instructions/cvtss2si.bsh.java,0,0,2,r32,x/m32,
cvttpd2dq,Instructions/cvttpd2dq.bsh.java,0,0,2,x,x/m128,
cvttpd2pi,Instructions/cvttpd2pi.bsh.java,0,0,2,d,x/m128,
cvttps2dq,Instructions/cvttps2dq.bsh.java,0,0,2,x,x/m128,
cvttps2pi,Instructions/cvttps2pi.bsh.java,0,0,2,d,x/m64,
cvttsd2si,Instructions/cvttsd2si.bsh.java,0,0,2,r32,x/m64,
cvttss2si,Instructions/cvttss2si.bsh.java,0,0,2,r32,x/m32,
cwd,Instructions/cwd.bsh.java,1,0,0,,,
cwde,Instructions/cwde.bsh.java,1,0,0,,,
daa,Instructions/daa.bsh.java,1,0,0,,,
das,Instructions/das.bsh.java,1,0,0,,,
dec,Instructions/dec.bsh.java,1,0,1,r/m,,
div,Instructions/div.bsh.java,1,0,1,r/m,,
divps,Instructions/divps.bsh.java,1,0,2,x,x/m128,
divss,Instructions/divss.bsh.java,1,0,2,x,x/m32,
idiv,Instructions/idiv.bsh.java,1,0,1,r/m,,
imul,Instructions/imul.bsh.java,1,0,1,r/m,,
imul,Instructions/imul.bsh.java,1,0,2,r16/r32,r16/r32/m16/m32/i,
imul,Instructions/imul.bsh.java,1,0,3,r16/r32,r16/r32/m16/m32,i
inc,Instructions/inc.bsh.java,1,0,1,r/m,,
j,Instructions/j.bsh.java,3,1,1,l,,
jcxz,Instructions/jcxz.bsh.java,3,0,1,l,,
jecxz,Instructions/jecxz.bsh.java,3,0,1,l,,
jmp,Instructions/jmp.bsh.java,3,0,1,r16/r32/m16/m32/l,,
lahf,Instructions/lahf.bsh.java,1,0,0,,,
lds,Instructions/lds.bsh.java,1,0,2,r16/r32,m32/m64,
lea,Instructions/lea.bsh.java,1,0,2,r16/r32,m16/m32,
les,Instructions/les.bsh.java,1,0,2,r16/r32,m32/m64,
lfs,Instructions/lfs.bsh.java,1,0,2,r16/r32,m32/m64,
lgs,Instructions/lgs.bsh.java,1,0,2,r16/r32,m32/m64,
lods,Instructions/lods.bsh.java,1,3,0,,,
loop,Instructions/loop.bsh.java,3,0,1,l,,
loope,Instructions/loope.bsh.java,3,0,1,l,,
loopne,Instructions/loopne.bsh.java,3,0,1,l,,
loopnz,Instructions/loopnz.bsh.java,3,0,1,l,,
loopz,Instructions/loopz.bsh.java,3,0,1,l,,
