EnvironmentConfiguration.model.engine.Instruction,Location,Parameters,,
bswap,Instructions/bswap.bsh.java,1,r
mov,Instructions/mov.bsh.java,2,r/m,r/m/i
lea,Instructions/lea.bsh.java,2,r16/r32,m16/m32
xlat,Instructions/xlat.bsh.java,0,,
cbw,Instructions/cbw.bsh.java,0,,
cwde,Instructions/cwde.bsh.java,0,,
cwd,Instructions/cwd.bsh.java,0,,
cdq,Instructions/cdq.bsh.java,0,,
add,Instructions/add.bsh.java,2,r/m,r/m/i
adc,Instructions/adc.bsh.java,2,r/m,r/m/i
cmp,Instructions/cmp.bsh.java,2,r/m,r/m/i
cmpxchg,Instructions/cmpxchg.bsh.java,2,r/m,r
cmpxchgs8,Instructions/cmpxchgs8.bsh.java,1,m
