Register,Source Register,Size,Type,Start,End
RAX,RAX,64,1,0,63
EAX,RAX,32,1,0,31
AX,RAX,16,2,0,15
AH,RAX,8,2,8,15
AL,RAX,8,2,0,7
RBX,RBX,64,2,0,63
EBX,RBX,32,1,0,31
BX,RBX,16,2,0,15
BH,RBX,8,2,8,15
BL,RBX,8,2,0,7
RCX,RCX,64,2,0,63
ECX,RCX,32,1,0,31
CX,RCX,16,2,0,15
CH,RCX,8,2,8,15
CL,RCX,8,2,0,7
RDX,RDX,64,2,0,63
EDX,RDX,32,1,0,31
DX,RDX,16,2,0,15
DH,RDX,8,2,8,15
DL,RDX,8,2,0,7
ESI,ESI,32,1,0,31
SI,ESI,16,1,0,15
EDI,EDI,32,1,0,31
DI,EDI,16,1,0,15
ESP,ESP,32,1,0,31
SP,ESP,16,1,0,15
EBP,EBP,32,1,0,31
BP,EBP,16,1,0,15
EIP,EIP,32,3,0,31
