Register,Source,Register,Size,Type,Start,End
RAX,RAX,64,2,0,63
EAX,RAX,32,1,0,31
AX,RAX,16,2,0,15
AH,RAX,8,2,8,15
AL,RAX,8,2,0,7
RBX,RBX,64,2,0,63
EBX,RBX,32,1,0,31
BX,RBX,16,2,0,15
BH,RBX,8,2,8,15
BL,RBX,8,2,0,7
RCX,RCX,64,2,0,63
ECX,RCX,32,1,0,31
CX,RCX,16,2,0,15
CH,RCX,8,2,8,15
CL,RCX,8,2,0,7
RDX,RDX,64,2,0,63
EDX,RDX,32,1,0,31
DX,RDX,16,2,0,15
DH,RDX,8,2,8,15
DL,RDX,8,2,0,7
ESI,ESI,32,1,0,31
SI,ESI,16,1,0,15
EDI,EDI,32,1,0,31
DI,EDI,16,1,0,15
ESP,ESP,32,1,0,31
SP,ESP,16,1,0,15
EBP,EBP,32,1,0,31
BP,EBP,16,1,0,15
EIP,EIP,32,3,0,31
DS,DS,16,2,0,15
ES,ES,16,2,0,15
FS,FS,16,2,0,15
GS,GS,16,2,0,15
SS,SS,16,2,0,15
MM0,MM0,64,4,0,63
MM1,MM1,64,4,0,63
MM2,MM2,64,4,0,63
MM3,MM3,64,4,0,63
MM4,MM4,64,4,0,63
MM5,MM5,64,4,0,63
MM6,MM6,64,4,0,63
MM7,MM7,64,4,0,63
XMM0,XMM0,128,6,0,127
XMM1,XMM1,128,6,0,127
XMM2,XMM2,128,6,0,127
XMM3,XMM3,128,6,0,127
XMM4,XMM4,128,6,0,127
XMM5,XMM5,128,6,0,127
XMM6,XMM6,128,6,0,127
XMM7,XMM7,128,6,0,127
ST0,ST0,80,5,0,79
ST1,ST1,80,5,0,79
ST2,ST2,80,5,0,79
ST3,ST3,80,5,0,79
ST4,ST4,80,5,0,79
ST5,ST5,80,5,0,79
ST6,ST6,80,5,0,79
ST7,ST7,80,5,0,79
CONTROL,CONTROL,16,7,0,15
STATUS,STATUS,16,7,0,15
TAG,TAG,16,7,0,15
R0,R0,64,1,0,63
R1,R1,64,1,0,63
R2,R2,64,1,0,63
R3,R3,64,1,0,63
R4,R4,64,1,0,63
R5,R5,64,1,0,63
R6,R6,64,1,0,63
R7,R7,64,1,0,63
R8,R8,64,1,0,63
R9,R9,64,1,0,63
R10,R10,64,1,0,63
$ZERO,$ZERO,64,1,0,63
$AT,$AT,64,1,0,63
$V0,$V0,64,1,0,63
$V1,$V1,64,1,0,63
$A0,$A0,64,1,0,63
$A1,$A1,64,1,0,63
$A2,$A2,64,1,0,63
$A3,$A3,64,1,0,63
$T0,$T0,64,1,0,63
$T1,$T1,64,1,0,63
$T2,$T2,64,1,0,63
HI,HI,64,1,0,63
LO,LO,64,1,0,63
